 
 =================================================
      AMS 260 - CFD, 1D Euler FVM Code            
       Written by Prof. Dongwook Lee              
            Winter Quarter, 2015                  
 =================================================
 
 
        Initial condition was written!            
 =================================================
    Steps      Time              dt               
   348      0.65908663       0.00187861
   349      0.66096263       0.00187601
   350      0.66283465       0.00187202
   351      0.66471060       0.00187594
   352      0.66659567       0.00188507
   353      0.66846471       0.00186904
   354      0.67033109       0.00186638
   355      0.67219475       0.00186366
   356      0.67405452       0.00185977
   357      0.67591568       0.00186116
   358      0.67776480       0.00184912
   359      0.67961755       0.00185275
   360      0.68147097       0.00185341
   361      0.68331302       0.00184205
   362      0.68515710       0.00184408
   363      0.68700356       0.00184647
   364      0.68885065       0.00184709
   365      0.69070859       0.00185794
   366      0.69256581       0.00185722
   367      0.69441048       0.00184467
   368      0.69624221       0.00183173
   369      0.69807727       0.00183506
   370      0.69991157       0.00183430
   371      0.70175537       0.00184380
   372      0.70359293       0.00183756
   373      0.70543166       0.00183873
   374      0.70726250       0.00183084
   375      0.70908895       0.00182644
   376      0.71092208       0.00183313
   377      0.71275225       0.00183017
   378      0.71460941       0.00185716
   379      0.71646294       0.00185353
   380      0.71831977       0.00185683
   381      0.72016751       0.00184773
   382      0.72201042       0.00184291
   383      0.72385836       0.00184794
   384      0.72571086       0.00185250
   385      0.72756554       0.00185468
   386      0.72941984       0.00185430
   387      0.73126370       0.00184386
   388      0.73311640       0.00185270
   389      0.73496768       0.00185128
   390      0.73682270       0.00185503
   391      0.73867001       0.00184730
   392      0.74052236       0.00185235
   393      0.74237875       0.00185639
   394      0.74423958       0.00186083
   395      0.74610340       0.00186383
   396      0.74796758       0.00186417
   397      0.74983204       0.00186446
   398      0.75169843       0.00186639
   399      0.75356575       0.00186732
   400      0.75543393       0.00186817
   401      0.75730305       0.00186913
   402      0.75917274       0.00186968
   403      0.76104190       0.00186916
   404      0.76291153       0.00186963
   405      0.76478152       0.00186999
   406      0.76665193       0.00187041
   407      0.76852347       0.00187154
   408      0.77039644       0.00187297
   409      0.77226929       0.00187285
   410      0.77414103       0.00187175
   411      0.77601252       0.00187148
   412      0.77788310       0.00187059
   413      0.77975307       0.00186997
   414      0.78162329       0.00187022
   415      0.78349326       0.00186997
   416      0.78536314       0.00186988
   417      0.78723369       0.00187055
   418      0.78910397       0.00187028
   419      0.79097398       0.00187001
   420      0.79284296       0.00186897
   421      0.79471092       0.00186796
   422      0.79657699       0.00186607
   423      0.79844188       0.00186490
   424      0.80030620       0.00186432
   425      0.80216901       0.00186280
   426      0.80403109       0.00186209
   427      0.80589329       0.00186220
   428      0.80775456       0.00186127
   429      0.80961557       0.00186101
   430      0.81147715       0.00186158
   431      0.81333834       0.00186119
   432      0.81519978       0.00186144
   433      0.81706154       0.00186176
   434      0.81892341       0.00186187
   435      0.82078485       0.00186144
   436      0.82264561       0.00186076
   437      0.82450523       0.00185962
   438      0.82636341       0.00185819
   439      0.82822021       0.00185679
   440      0.83007535       0.00185514
   441      0.83192960       0.00185425
   442      0.83378323       0.00185362
   443      0.83563550       0.00185228
   444      0.83748724       0.00185173
   445      0.83933924       0.00185201
   446      0.84119113       0.00185189
   447      0.84304279       0.00185165
   448      0.84489503       0.00185224
   449      0.84674870       0.00185367
   450      0.84860253       0.00185383
   451      0.85045733       0.00185480
   452      0.85231375       0.00185642
   453      0.85417097       0.00185722
   454      0.85602786       0.00185689
   455      0.85788338       0.00185552
   456      0.85973770       0.00185432
   457      0.86159031       0.00185261
   458      0.86344153       0.00185122
   459      0.86529211       0.00185058
   460      0.86714145       0.00184934
   461      0.86898969       0.00184824
   462      0.87083763       0.00184794
   463      0.87268611       0.00184847
   464      0.87453409       0.00184798
   465      0.87638202       0.00184793
   466      0.87823074       0.00184872
   467      0.88008110       0.00185036
   468      0.88193185       0.00185074
   469      0.88378369       0.00185184
   470      0.88563745       0.00185376
   471      0.88749277       0.00185533
   472      0.88934973       0.00185695
   473      0.89120666       0.00185693
   474      0.89306256       0.00185590
   475      0.89491798       0.00185543
   476      0.89677326       0.00185528
   477      0.89862774       0.00185448
   478      0.90048223       0.00185449
   479      0.90233712       0.00185489
   480      0.90419168       0.00185456
   481      0.90604672       0.00185503
   482      0.90790250       0.00185579
   483      0.90975845       0.00185594
   484      0.91161536       0.00185691
   485      0.91347325       0.00185789
   486      0.91533182       0.00185857
   487      0.91719188       0.00186006
   488      0.91905283       0.00186095
   489      0.92091506       0.00186223
   490      0.92277802       0.00186296
   491      0.92464205       0.00186403
   492      0.92650632       0.00186427
   493      0.92837166       0.00186534
   494      0.93023774       0.00186608
   495      0.93210462       0.00186688
   496      0.93397288       0.00186825
   497      0.93584175       0.00186887
   498      0.93771160       0.00186985
   499      0.93958196       0.00187036
   500      0.94145320       0.00187123
   501      0.94332469       0.00187149
   502      0.94519728       0.00187259
   503      0.94707123       0.00187396
   504      0.94894588       0.00187465
   505      0.95082207       0.00187619
   506      0.95270050       0.00187843
   507      0.95458010       0.00187960
   508      0.95646168       0.00188159
   509      0.95834591       0.00188422
   510      0.96023134       0.00188543
   511      0.96211643       0.00188509
   512      0.96399990       0.00188347
   513      0.96588252       0.00188262
   514      0.96776519       0.00188267
   515      0.96964863       0.00188344
   516      0.97153239       0.00188376
   517      0.97341604       0.00188365
   518      0.97529999       0.00188395
   519      0.97718415       0.00188416
   520      0.97906820       0.00188405
   521      0.98095217       0.00188398
   522      0.98283576       0.00188358
   523      0.98471831       0.00188255
   524      0.98660021       0.00188190
   525      0.98848040       0.00188019
   526      0.99035962       0.00187921
   527      0.99223748       0.00187786
   528      0.99411389       0.00187641
   529      0.99599054       0.00187665
   530      0.99786515       0.00187460
   531      0.99974005       0.00187490
   532      1.00161448       0.00187444
   533      1.00348855       0.00187407
   534      1.00536451       0.00187596
   535      1.00723949       0.00187498
   536      1.00911578       0.00187629
   537      1.01099285       0.00187707
   538      1.01287075       0.00187791
   539      1.01474964       0.00187888
   540      1.01662905       0.00187942
   541      1.01850049       0.00187144
   542      1.02037446       0.00187397
   543      1.02224085       0.00186640
   544      1.02410412       0.00186326
   545      1.02597082       0.00186670
   546      1.02782410       0.00185328
   547      1.02967435       0.00185025
   548      1.03151913       0.00184479
   549      1.03338249       0.00186336
   550      1.03524383       0.00186134
   551      1.03709749       0.00185366
   552      1.03893868       0.00184119
   553      1.04077244       0.00183376
   554      1.04260538       0.00183294
   555      1.04444471       0.00183933
   556      1.04628167       0.00183695
   557      1.04813510       0.00185343
   558      1.04998822       0.00185312
   559      1.05183872       0.00185050
   560      1.05367678       0.00183807
   561      1.05552020       0.00184342
   562      1.05736034       0.00184013
   563      1.05920429       0.00184395
   564      1.06105099       0.00184670
   565      1.06289469       0.00184370
   566      1.06473819       0.00184350
   567      1.06658451       0.00184632
   568      1.06841191       0.00182740
   569      1.07025216       0.00184025
   570      1.07210147       0.00184931
   571      1.07394876       0.00184729
   572      1.07579688       0.00184813
   573      1.07764512       0.00184824
   574      1.07949446       0.00184934
   575      1.08134596       0.00185150
   576      1.08320037       0.00185440
   577      1.08505439       0.00185403
   578      1.08690758       0.00185319
   579      1.08874539       0.00183781
   580      1.09059600       0.00185061
   581      1.09244950       0.00185350
   582      1.09430526       0.00185577
   583      1.09616437       0.00185911
   584      1.09802244       0.00185807
   585      1.09988115       0.00185870
   586      1.10173848       0.00185734
   587      1.10359522       0.00185674
   588      1.10545078       0.00185556
   589      1.10731155       0.00186077
   590      1.10917512       0.00186357
   591      1.11104049       0.00186537
   592      1.11290345       0.00186295
   593      1.11476505       0.00186161
   594      1.11662703       0.00186198
   595      1.11849034       0.00186331
   596      1.12035521       0.00186487
   597      1.12222140       0.00186619
   598      1.12408737       0.00186598
   599      1.12595419       0.00186681
   600      1.12782317       0.00186898
   601      1.12969263       0.00186946
   602      1.13156367       0.00187104
   603      1.13343721       0.00187354
   604      1.13531403       0.00187682
   605      1.13719231       0.00187828
   606      1.13906976       0.00187745
   607      1.14094582       0.00187606
   608      1.14282130       0.00187548
   609      1.14469556       0.00187427
   610      1.14656904       0.00187347
   611      1.14844156       0.00187252
